Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,all,620000,1
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,3+,620000,1
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,1,0,0
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,2,0,0
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,3,155000,0.25
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,4,341000,0.55
Apr 2025,PSE,2100000,,Khan younis,first projection,2025-05-01,2025-09-30,5,124000,0.2
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,all,310000,1
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,3+,294500,0.95
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,1,0,0
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,2,15500,0.05
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,3,108500,0.35
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,4,139500,0.45
Apr 2025,PSE,2100000,,North gaza,current,2025-04-01,2025-05-31,5,46500,0.15
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,all,310000,1
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,3+,310000,1
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,1,0,0
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,2,0,0
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,3,31000,0.1
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,4,186000,0.6
Apr 2025,PSE,2100000,,North gaza,first projection,2025-05-01,2025-09-30,5,93000,0.3
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,all,30000,1
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,3+,28500,0.95
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,1,0,0
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,2,1500,0.05
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,3,10500,0.35
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,4,13500,0.45
Apr 2025,PSE,2100000,,Rafah,current,2025-04-01,2025-05-31,5,4500,0.15
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,all,30000,1
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,3+,30000,1
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,1,0,0
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,2,0,0
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,3,4500,0.15
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,4,18000,0.6
Apr 2025,PSE,2100000,,Rafah,first projection,2025-05-01,2025-09-30,5,7500,0.25
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,all,430715,1
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,3+,387644,0.9
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,1,0,0
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,2,43072,0.1
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,3,193822,0.45
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,4,150750,0.35
Sep 2024,PSE,2251457,,Northern Governorates,current,2024-09-01,2024-10-31,5,43072,0.1
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,all,430715,1
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,3+,409180,0.95
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,1,0,0
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,2,21536,0.05
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,3,129215,0.3
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,4,193822,0.45
Sep 2024,PSE,2251457,,Northern Governorates,first projection,2024-11-01,2025-04-30,5,86143,0.2
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,all,44201,1
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,3+,37570,0.85
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,1,0,0
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,2,6630,0.15
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,3,17680,0.4
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,4,13260,0.3
Sep 2024,PSE,2251457,,Rafah Governorate,current,2024-09-01,2024-10-31,5,6630,0.15
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,all,44201,1
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,3+,39780,0.9
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,1,0,0
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,2,4420,0.1
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,3,15470,0.35
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,4,15470,0.35
Sep 2024,PSE,2251457,,Rafah Governorate,first projection,2024-11-01,2025-04-30,5,8840,0.2
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,all,1665702,1
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,3+,1415847,0.85
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,1,0,0
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,2,249855,0.15
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,3,832851,0.5
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,4,499711,0.3
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,current,2024-09-01,2024-10-31,5,83285,0.05
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,all,1665702,1
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,3+,1499132,0.9
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,1,0,0
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,2,166570,0.1
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,3,582996,0.35
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,4,666281,0.4
Sep 2024,PSE,2251457,,Deir al Balah & Khan Younis Governorates,first projection,2024-11-01,2025-04-30,5,249855,0.15
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,all,300000,1
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,3+,300000,1
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,1,0,0
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,2,0,0
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,3,105000,0.35
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,4,135000,0.45
May 2024,PSE,2251457,,North Gaza,current,2024-05-01,2024-06-30,5,60000,0.2
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,all,300000,1
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,3+,300000,1
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,1,0,0
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,2,0,0
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,3,75000,0.25
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,4,150000,0.5
May 2024,PSE,2251457,,North Gaza,first projection,2024-06-01,2024-09-30,5,75000,0.25
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,all,200000,1
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,3+,170000,0.85
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,1,10000,0.05
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,2,20000,0.1
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,3,80000,0.4
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,4,70000,0.35
May 2024,PSE,2251457,,Rafah,current,2024-05-01,2024-06-30,5,20000,0.1
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,all,200000,1
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,3+,190000,0.95
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,1,0,0
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,2,10000,0.05
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,3,50000,0.25
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,4,70000,0.35
May 2024,PSE,2251457,,Rafah,first projection,2024-06-01,2024-09-30,5,70000,0.35
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,all,1751457,1
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,3+,1663884,0.95
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,1,0,0
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,2,87573,0.05
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,3,963301,0.55
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,4,437864,0.25
May 2024,PSE,2251457,,Deir Al-Balah,current,2024-05-01,2024-06-30,5,262719,0.15
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,all,1751457,1
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,3+,1663884,0.95
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,1,0,0
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,2,87573,0.05
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,3,788156,0.45
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,4,525437,0.3
May 2024,PSE,2251457,,Deir Al-Balah,first projection,2024-06-01,2024-09-30,5,350291,0.2
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,all,600000,1
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,3+,570000,0.95
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,1,0,0
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,2,30000,0.05
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,3,120000,0.2
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,4,270000,0.45
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,current,2024-02-01,2024-03-31,5,180000,0.3
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,all,600000,1
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,3+,600000,1
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,1,0,0
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,2,0,0
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,3,0,0
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,4,300000,0.5
Feb 2024,PSE,2230000,,Deir al-balah & khan younis governorates,first projection,2024-03-01,2024-07-31,5,300000,0.5
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,all,300000,1
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,3+,300000,1
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,1,0,0
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,2,0,0
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,3,60000,0.2
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,4,75000,0.25
Feb 2024,PSE,2230000,,North gaza & gaza governorates,current,2024-02-01,2024-03-31,5,165000,0.55
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,all,300000,1
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,3+,300000,1
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,1,0,0
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,2,0,0
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,3,0,0
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,4,90000,0.3
Feb 2024,PSE,2230000,,North gaza & gaza governorates,first projection,2024-03-01,2024-07-31,5,210000,0.7
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,all,1326544,1
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,3+,1260217,0.95
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,1,0,0
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,2,66327,0.05
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,3,397963,0.3
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,4,530618,0.4
Feb 2024,PSE,2230000,,Rafah governorate,current,2024-02-01,2024-03-31,5,331636,0.25
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,all,1326544,1
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,3+,1326544,1
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,1,0,0
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,2,0,0
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,3,265309,0.2
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,4,464290,0.35
Feb 2024,PSE,2230000,,Rafah governorate,first projection,2024-03-01,2024-07-31,5,596945,0.45
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,all,600000,1
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,3+,570000,0.95
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,1,0,0
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,2,30000,0.05
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,3,180000,0.3
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,4,240000,0.4
Dec 2023,PSE,2226544,,Northern Governorates,current,2023-11-01,2023-12-31,5,150000,0.25
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,all,500000,1
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,3+,500000,1
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,1,0,0
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,2,0,0
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,3,125000,0.25
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,4,225000,0.45
Dec 2023,PSE,2226544,,Northern Governorates,first projection,2023-12-01,2024-02-29,5,150000,0.3
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,all,333982,1
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,3+,284400,0.85
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,1,0,0
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,2,50100,0.15
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,3,133600,0.4
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,4,116900,0.35
Dec 2023,PSE,2226544,,Southern Governorates,current,2023-11-01,2023-12-31,5,33900,0.1
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,all,50000,1
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,3+,47500,0.95
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,1,0,0
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,2,2500,0.05
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,3,17500,0.35
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,4,22500,0.45
Dec 2023,PSE,2226544,,Southern Governorates,first projection,2023-12-01,2024-02-29,5,7500,0.15
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,all,1292562,1
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,3+,1228000,0.95
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,1,0,0
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,2,64600,0.05
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,3,452400,0.35
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,4,581700,0.45
Dec 2023,PSE,2226544,,Southern Governorate IDPs,current,2023-11-01,2023-12-31,5,193900,0.15
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,all,1676544,1
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,3+,1676500,1
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,1,0,0
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,2,0,0
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,3,335300,0.2
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,4,922100,0.55
Dec 2023,PSE,2226544,,Southern Governorate IDPs,first projection,2023-12-01,2024-02-29,5,419100,0.25
